Config,Model,Type,Epoch,Loss,Accuracy,Bleu1,Bleu2,Rouge,Meteor
1,resnet50,train,1,4.0304,0.021504352847636427,0.009515593015412705,0.002844446345659235,0.01690440969287123,0.011115832317126872
1,resnet50,val,1,2.8324,0.09862869198312235,0.04963185164985001,0.028070600671302758,0.0923776455026455,0.048923284822675064
1,resnet50,train,2,2.2961,0.14959604321289086,0.0698461161657892,0.04203213979141696,0.14261587771203155,0.07869325791256675
1,resnet50,val,2,2.4096,0.16438115330520395,0.07479417818288739,0.04343758487707415,0.15852347883597884,0.08640885194768468
1,resnet50,train,3,1.7634,0.21569192823608424,0.12594238830348609,0.07216299610761479,0.22847728526815064,0.1288639671964778
1,resnet50,val,3,2.3950,0.16561181434599154,0.08399494767232046,0.04786350825467119,0.15781249999999997,0.09877098982682622
1,resnet50,train,4,1.3121,0.35603351604201455,0.26954706001828643,0.16299141408777532,0.4029432439889172,0.2521517090371498
1,resnet50,val,4,2.4733,0.16561181434599154,0.09143345439008758,0.05229416050036398,0.15781249999999997,0.09462342128357755
1,resnet50,train,5,1.0027,0.48084229557950764,0.3979067876441358,0.2612925072786193,0.5314904913462606,0.3794424874717255
1,resnet50,val,5,2.4779,0.1858298171589311,0.10408496732026143,0.05556651670444332,0.18002645502645503,0.10703987852425353
1,resnet50,train,6,0.7989,0.530558907281108,0.47090803831706807,0.33048517414713985,0.5835682464217531,0.43332379510741004
1,resnet50,val,6,2.4296,0.19848804500703235,0.11275510204081632,0.059217310173517425,0.20581597222222225,0.12373265438586621
1,resnet50,train,7,0.7098,0.6007306375377144,0.5567949192059318,0.41693236775403253,0.6480920455079109,0.5098835998772855
1,resnet50,val,7,2.4215,0.21870604781997188,0.11954697986577183,0.0597081967254428,0.21373181216931217,0.1259059408473471
1,resnet50,train,8,0.5484,0.6754925695537863,0.6365887095041275,0.4987672035397211,0.7220478173002213,0.5922833603741803
1,resnet50,val,8,2.4256,0.26547116736990156,0.16139486647653617,0.08585212148029712,0.2591104497354497,0.16673831914482257
1,resnet50,train,9,0.5213,0.7271681984038073,0.706693843396735,0.5770527175215032,0.7650608005776275,0.6537541582666875
1,resnet50,val,9,2.2945,0.26547116736990156,0.17806267806267806,0.09574658787455018,0.25851521164021163,0.17012836073897758
1,resnet50,train,10,0.3706,0.7851070034542283,0.7727675015004826,0.669853752375595,0.8078537743958939,0.7128897808955882
1,resnet50,val,10,2.2687,0.29957805907172996,0.18881412952060556,0.10911679149854525,0.3032903439153439,0.21228054379509245
1,resnet50,train,11,0.2967,0.8298927807837452,0.8180507251212401,0.7303560026611466,0.8558586045364891,0.7798904846359045
1,resnet50,val,11,2.3341,0.3122362869198312,0.2021841794569067,0.12574998543263194,0.3101727843915344,0.22739183172487612
1,resnet50,train,12,0.2465,0.8604308024902918,0.8588715509310402,0.782087074027189,0.8814656697469196,0.8105036364714031
1,resnet50,val,12,2.2810,0.29711673699015473,0.18463209340211784,0.10511241584355731,0.27451223544973546,0.18974931500448133
1,resnet50,train,13,0.1963,0.8970778155478502,0.8895385946550847,0.8266408576770938,0.9143607194087964,0.8540095210332884
1,resnet50,val,13,2.2320,0.3299929676511955,0.23408781484002722,0.1309245779929049,0.3374503968253968,0.21749438529517984
1,resnet50,train,14,0.1302,0.9351976611954602,0.9351976611954602,0.8979548803273959,0.9492110453648916,0.9052130758962664
1,resnet50,val,14,2.2555,0.3224331926863573,0.2132173382173382,0.12573628969531653,0.30862681878306875,0.20834045313632008
1,resnet50,train,15,0.1072,0.9464893357691988,0.9447582960634756,0.9120659121682687,0.9583835235277545,0.9219239217876681
1,resnet50,val,15,2.3547,0.30344585091420534,0.21354515050167222,0.12428684959199769,0.2948991402116402,0.1870259067848813
1,resnet50,train,16,0.0855,0.95928172586597,0.95928172586597,0.9326130481577218,0.9709516950660675,0.9355536215576804
1,resnet50,val,16,2.3464,0.3299929676511955,0.21082758620689654,0.12389975864756658,0.33912450396825394,0.23795033120821896
1,resnet50,train,17,0.0724,0.9727105315264958,0.9709314073845026,0.9538516776996612,0.9790235805860805,0.9479093745290365
1,resnet50,val,17,2.3937,0.3299929676511955,0.22750836120401338,0.135491898934134,0.32234623015873015,0.19163147205387898
1,resnet50,train,18,0.0457,0.9870386135425128,0.9870386135425128,0.9802301101713561,0.9910300436742745,0.9643397725392174
1,resnet50,val,18,2.4885,0.3161040787623066,0.2143317230273752,0.12377291597881224,0.2922577711640212,0.20089569596654042
1,resnet50,train,19,0.0356,0.9863254235240457,0.9863254235240457,0.9762149253685608,0.9892399267399268,0.9633383610888134
1,resnet50,val,19,2.5464,0.30344585091420534,0.20370370370370366,0.11952661441098225,0.27678158068783065,0.19346701421009704
1,resnet50,train,20,0.0378,0.9838605502640498,0.9838605502640498,0.9776898623875216,0.9866339990138067,0.9596531975215938
1,resnet50,val,20,2.5147,0.30977496483825595,0.19393687707641197,0.11812877143974934,0.28515211640211635,0.19798324328150946
